,topic,text,label_Song,label_Zhao,,
19360,yakub,"@tehseenp I just can't believe ppl like you exist, why don't u and Yakub just elope to Pakistan.https://t.co/9V4LKjh2Wb",2,2,,
10317,kendrick,Why am I just now hearing J Cole and Kendrick tracks Black Friday... Both of them are fire,1,1,,
12114,murray,"Murray with another huge 1st down run, 26 yds",1,1,,
10458,kendrick lamar,Lemme see if Kendrick Lamar can become the 2nd Hip Hop artist to win Album of The Year at the Grammy Awards....,1,1,,
18456,tom brady,Very surprised Tom Brady was willing to speak at his locker room about the #DeflateGate decision. Can't wait until Thursday.,1,1,,
17910,the vamps,Hello mutuals who's going to The Vamps' concert in Manila on Jan 30:),1,1,,
12238,muslims,1st Scott Walker dismissed #BlackLivesMatter then he dismissed Muslims Is he being self destructive or preparing his Exit Speech? #ByeWalker,2,2,,
18300,tom brady,Good night all. Will wake tomorrow and check espn to see if tom brady relieved himself during the night.,3,1,,
14394,paul mccartney,"Hearing Paul McCartney live was absolutely incredible. I'm glad I wasn't in the crowd but I sat by the lake instead, which was amazing.",1,1,,
13394,nicki,Not if nicki is gone be in it  https://t.co/bftjyZZFFz,2,2,,
12800,national hot dog day,Sonic is celebrating National Hot Dog Day on Wednesday with discounted dogs http://t.co/EtnhaaoQpQ,1,1,,
19119,white sox,#Indians Francisco Lindor is out of the Indians' starting lineup Tuesday night against the White Sox.  http://t.co/Q1qiobeqlu,2,3,,
14366,paul mccartney,@Iyield2no1  I may put off the PS4 till the Star Wars one. Paul McCartney is coming to town!,1,1,,
19888,zac brown band,"We have two tickets to see the ZAC BROWN BAND on Friday, September 4th!  Anybody interested?  Like, Comment or... http://t.co/ZJDzpsS5TT",3,1,,
19062,watchman,"Eager to read Go Set a Watchman. Will be out tomorrow, can't wait to get my hands on it!",1,1,,
14325,paul mccartney,"Paul McCartney will perform @ Lollapalooza in Grant Park in Chicago, starting today through Sunday. With the GOP... http://t.co/EPMFicmcRu",3,1,,
14704,ps4,"@AskPlayStation I would purchase PS4 tomorrow however until the Logitech G27 is fully supported across the board, NO DEAL!!!",2,2,,
15103,rahul gandhi,@_antithesis_1 And only Rahul Gandhi knew about it in advance. Seems he is smarter than we credit him for. https://t.co/obyNot4vVd,1,1,,
15489,red sox,Anyone want to go to a Red Sox game tomorrow? HMUUUU,3,3,,
17223,sharknado,Loved the Today Show peeps on 3rd installment of "Sharknado"!! @TODAYshow   @SharknadoFans,1,1,,
12874,national ice cream day,"Enjoy a sundae on this Sunday, it's National Ice Cream Day! Make your own all-natural w/ fresh fruits! #icecreamday http://t.co/LKG5opRmlI",1,1,,
17998,thor,"@StubbornMortal *About an hour later, Thor emerged from his slumber fully energized.  He did not wish to wake Jane so he quietly sat on the+",3,1,,
18338,tom brady,Something may be slightly amiss in the NFL when Tim Tebow &amp; Devon Still are cut &amp; Tom Brady is allowed to play.,3,2,,
18459,tom brady,Who cares what an asshole like snoop dog who barely speaking englisg said about Tom Brady #bradywins will take care business thursday,2,2,,
19836,zac brown band,Happy Thursday morning...It's the last day to register to win Luke Bryan tickets....and Zac Brown Band "win 'em... http://t.co/YXK3ylOJ3e,1,1,,
18067,thor,"Thor said Thursday during press conf that he had tricks up his sleeve for tonight. It was the Warthen slider, he relied on it heavily 3 IP+",3,3,,
14985,rahul gandhi,When will Rahul Gandhi stop referring to himself in 3rd person? It was creepy when he was doing so while addressing the #ShakurBasti people,2,2,,
18196,thor,Thor's going to make Herrera pay tomorrow night. Mets have the enforcer on the mound https://t.co/qzXkM2hiXn,3,3,,
10976,lady gaga,Lady Gaga you turn me on in such weird ways. I'll bite your ass 1st home girl,1,1,,
15518,red sox,Indians open with Red Sox &amp; don't get the extra few days in April so the weather can improve. That's bad news for the Tribe.,2,2,,
17066,sharknado,"DON'T WORRY, they are going to kill the Sharknado w/ a wall of fire that's hotter than the sun, NASA is helping them, it's a legit plan.",1,1,,
13457,nicki,Best of luck to @Harriet_Samps and Nicki doing the #RainbowRun tomorrow morning!! Have fun and get colourful! #sundayfunday,1,1,,
10722,kpop,"Is this the 1st time Kpop has been nominated in the TCAs? Even if we don't win, isn't that still an achievement we should be proud of!",1,1,,
14213,paul dunne,Paul Dunne is tied for 1st at the open and he's a proud #UABBlazer   shutout to my ace @naive_n_sassy  #BlazerLife,1,1,,
13670,nirvana,@ConnieYRankin  G'Evening 2 the Savvy Gorgeous Author #May ur life strive of affluent nirvana #Sagacious_Sass http://t.co/gT0jR4bcRi,1,1,,
10919,kris bryant,"Kris Bryant belts his 21st home run of the year. 2-0, Cubs.",1,1,,
19789,zac brown band,"Selling a Zac brown band ticket for the 3rd, message me if you're interested.",3,3,,
17657,star wars day,"Tomorrow's going to be a big day, nope. Not because its 17. Haha enough with that date. Its a Star Wars day!!!!!",1,1,,
18841,u2,@AnthonyMcCarron U2 at the Brendan Byrne in Spring of 85. I apparently joined @PeterBotte for the 2nd leg at the Coliseum in the Fall.,3,3,,
10109,kendrick,"@JColeAustralia keep hearing about cole being support to kendrick here in March, thoughts ?",1,3,,
16413,saudi arabia,Saudi Arabia leading the coalition to fight terrorism is like Israelis giving their shawarma Tuesday's to the Palestinians,2,2,,
19870,zac brown band,My day was just made! Julie coming up in the clutch with Zac Brown Band tickets for Friday! #Daymade #shortweek,1,1,,
16567,scott walker,Scott Walker is going to Dreamland tomorrow which is reason enough not to vote for him.,2,2,,
18696,twilight,Today or Tomorrow night work have to been done by midnight. No shame or sharing with twilight your future will be bright.,2,1,,
17860,the vamps,@CelebInfoForYou do you have info for The Vamps in Brussels tomorrow?,3,3,,
19908,zac brown band,knowing that we are going to see Zac Brown Band tomorrow is the only thing keeping me going today. #drained,1,1,,
17592,star wars day,"Don't forget Star Wars day! If you want to buy a Star Wars shirt, you can get one from Mrs. Boody tomorrow in room 110",1,1,,
12126,murray,There you go! Murray breaks back in the 3rd. Can he make another comeback here? Looooong way to go! #USOpen2015 #@usopen,1,2,,
15900,rousey,Mayweather may be a scumbag but he'd never come close to losing to Rousey. https://t.co/HXBlmH0Q6j,2,2,,
12914,national ice cream day,"July 19th is National Ice Cream Day. Ice cream typically contains vitamins A, which is very important for the... http://t.co/KSXTu69T9T",1,1,,
17203,sharknado,"I have grown to love @TaraReid's character, April, throughout the Sharknado franchise. #Sharknado3",1,1,,
18344,tom brady,This upcoming Thursday my Patriots are going to smash these Steelers!!! Tom Brady is gonna be angry and he's going to put unreal #s up!!!,2,1,,
