topic,text
amy schumer,@dani_pitter I mean I get the hype around JLaw. I may not like her but I get her hype. I just don't understand Amy Schumer and her hype
amy schumer,Amy Schumer at the #GQmenoftheyear2015 party in a dress we pretty much hate: https://t.co/j5HmmyM99j #GQMOTY2015 https://t.co/V8xzmPmPYX
amy schumer,"Amy Schumer may have brought us Trainwreck, but that word just got redefined on #TheVoice."
amy schumer,I just think that sports are stupid &amp;anyone who likes them is a lesser person &amp; has a small intellect- Amy Schumer https://t.co/fdjWKKG5AR
amy schumer,"If you do like Amy Schumer, I hope you went &amp; saw her Saturday bc after this ridiculousness, I highly doubt Maine will be on list of faves."
amy schumer,"People are like, ""Amy Schumer? I don't like her, she's fat.""  And I'm all like Ralphie May is fatter, and I don't... https://t.co/p0euQA7Tww"
amy schumer,"Seriously though, somebody posted Amy Schumer as their woman crush Wednesday on Instagram &amp; I almost went off, but it's not worth it"
amy schumer,They may be mean but I guess they're not stupid...free TED but you have to pay for Amy Schumer - most unimpressed. https://t.co/BrdeiudNJd
amy schumer,This Amy Schumer segment is now old news about 2 days too late...good producer would have had it on Monday @localmemphis #Local24 #LML
amy schumer,Amy Schumer is on Sky Atlantic doing one of the worst stand up sets I have ever seen. And I've almost sat through 30 seconds of Millican.
amy schumer,'Saturday Night Live' re-watch: Amy Schumer's monologue (with Bradley Cooper ... - https://t.co/WFTprpJPSr https://t.co/DJvz2QAM4Z
amy schumer,09 Nov: Selena Gomez with Amy Schumer the 25th Annual Glamour Woman Of The Year Awards in New York City
amy schumer,@AlwysBeMkngFrnz we may go see Amy Schumer at the Troc earlier that night
amy schumer,"@ItsMeKimShaw did you see the Friday Night Lights spoof that Amy Schumer did? She had that glass, straight slurping Chardonnay."
amy schumer,@TheBertShow I agree with Bert. Amy Schumer may not be in as many nominated movie roles just bcause her base is comedy - gets less noms
amy schumer,A little bit of rain wasn't enough to dampen the spirits of Amy Schumer and her sister Kim Caramele on Tuesday.
amy schumer,Actor Amy Schumer gets famous and the 1st thing she does? Make Leftwing comments re gun control. I won't act if you stay out of policy.
amy schumer,Actress and comedian Amy Schumer shared an intimate portrait on Monday that he would try a last-ditch appeal to New Zealand's High Court.
amy schumer,"Amy Schumer Gets Realer Than Real About the Kardashians, Women's Magazines, and #ffshoes https://t.co/BAwyvZHDUA https://t.co/AZv7F3sirK"
amy schumer,Amy Schumer Opens Up About Man That Tried To Date Her After Criticizing Her Looks: Amy Schumer sat down with T... https://t.co/7X812mwIuH
amy schumer,Amy Schumer Steps Out in Black at the 7th Annual Governors Awards https://t.co/Uvbc7O0F70
amy schumer,Amy Schumer backstage at the Hollywood Film Awards || November 1 #GomezUpdate https://t.co/Phgefd9RNU https://t.co/hKMxJ1GvmI
amy schumer,Amy Schumer hosted Saturday Nigh Live recently and joked about being hacked: https://t.co/SnrciYvGyj @TripwireInc #infosec #cyberday #cloud
amy schumer,Amy Schumer performed live at northeastern on Friday. She spoke about getting an anti-gun policy.
amy schumer,Amy Schumer sat down with The Hollywood Reporter and opened up about the sexist remarks and unnecessary criticism she's faced since
amy schumer,"Bethany Cosentino Wednesday, Amy Schumer tonight. Too bad Tina Fey isn't in town tomorrow!"
amy schumer,"Drew Barrymore will be at the Cedar Hills Powells tonight. Amy Schumer is here tomorrow night. Twitter, youre failing me."
amy schumer,"Emma Watson, Lena Dunham, Amy Schumer, Taylor Swift, etc may be feminist women I don't agree with - but it doesn't mean they arent feminists"
amy schumer,Follow the top Amy Schumer stories for Dec 21 on our topical page: https://t.co/pFWJ03MHXE
amy schumer,Get your tickets to see Amy Schumer when she performs at BB&amp;T Center this Saturday https://t.co/yOfn0A7OOl. Or... https://t.co/hX0kdv9BXa
amy schumer,"Hi y'all I'm selling three tickets at face value ($80) for Amy Schumer on Friday in MKE, let me know if you want them!"
amy schumer,I just watched Saturday Night Live - October 10 - Amy Schumer with the new NBC app. Download on iTunes! https://t.co/7CGa0JFmni
amy schumer,"I may never get the ""It"" girl that is Amy Schumer [shrug]"
amy schumer,I think the girl that looks like Amy Schumer may go home tonight.  #thevoice
amy schumer,I want to see Amy Schumer Saturday so badddddd
amy schumer,I'm going to an Amy Schumer show on campus Sunday night and of course they sent an e-mail saying we won't be allowed to have mace.
amy schumer,Jennifer Lawrence &amp; Amy Schumer Want to Wear the Same Dior Dress to the Golden Globes: Jennifer Lawrence and friend Amy Schumer may b...
amy schumer,Jennifer Lawrence is Scheming a Fashion-Related Prank with Amy Schumer for Awards Season: Lawrence may have al... https://t.co/GrjyNgAt1Q
